market,exp_ma_window,exp_ma_diff_method,exp_ma_detection_threshold,exp_pre_window_duration_str,exp_post_window_duration_str,retail_filter_type,retail_filter_threshold,events_retail_driven,events_inst_attempt,events_successful_correction,attempt_rate,success_rate,mean_inst_share_succ,mean_inst_share_fail,mwu_p_inst_share,avg_gap_closed_final,avg_gap_closed_to_min,avg_crossed_zero_flag,avg_time_to_reversion_min,corr_inst_share_vs_gap_closed,corr_inst_share_vs_gap_closed_p,corr_inst_share_nan_reason,corr_abs_first_trade_imp_vs_abs_md0,corr_abs_first_trade_imp_vs_abs_md0_p,mean_first_1_imp_succ,mean_first_1_imp_fail,mean_first_1_correct_dir_succ,mean_first_1_correct_dir_fail,mean_first_2_imp_succ,mean_first_2_imp_fail,mean_first_2_correct_dir_succ,mean_first_2_correct_dir_fail,mean_first_3_imp_succ,mean_first_3_imp_fail,mean_first_3_correct_dir_succ,mean_first_3_correct_dir_fail
PRES-2024-KH,5,percentage,0.02,"1 day, 0:00:00",0:30:00,count,0.5,14829,13325,10279,0.8985771124148628,0.77140712945591,0.8322925390741636,0.854141830743184,8.91856981879917e-05,0.44182813691032574,0.9973634868717612,1.0,2.1933958724202625,-0.052036706869813106,1.851668797394735e-09,,0.10283353484213573,1.1703692584291834e-32,0.00019068002724000489,0.0006664478003939585,0.36151376593053797,0.23933026920551542,0.0003060072267389351,0.0007858889276982182,0.33855433407919056,0.23703217334208798,1.4073694984647714e-05,0.0008157211716722277,0.30936861562408796,0.2330925804333552
PRES-2024-KH,5,percentage,0.02,"1 day, 0:00:00",0:30:00,flow,0.05,9672,8667,6571,0.8960918114143921,0.7581631475712473,0.817298267944513,0.8500156232176794,3.210390518372978e-08,0.407162202001695,0.9959465169685264,1.0,2.1684550594207916,-0.060331776156351644,1.8985408821695653e-08,,0.14232430913299624,1.872258594165784e-40,-0.00020849185816466245,0.0006106870229007625,0.36661086592603864,0.22900763358778625,-0.00016975848792439595,0.0008396560445118863,0.336021914472683,0.22853053435114504,-0.0005688505296194581,0.0008129649309245477,0.31015066199969565,0.22900763358778625
PRES-2024-KH,5,percentage,0.02,"1 day, 0:00:00",0:30:00,flow,0.1,3025,2542,1853,0.8403305785123967,0.7289535798583793,0.7602597687988519,0.8205886588605099,3.7931738151736403e-07,0.1549030414955955,0.9896515071837491,1.0,2.1683713611329662,-0.09285423764941814,2.7403497847772857e-06,,0.11198290050508258,1.504772537931897e-08,-0.001057744198596869,0.001044992743105949,0.3826227738801943,0.28592162554426703,-0.000855354659248956,0.0013311688311688301,0.31084727468969237,0.2714078374455733,-0.0012223133716160778,0.0012062937062937047,0.2784673502428494,0.2597968069666183
PRES-2024-KH,5,percentage,0.02,"1 day, 0:00:00",0:30:00,flow,0.2,631,421,345,0.6671949286846276,0.8194774346793349,0.6091511555533535,0.6916138930144209,0.008801815828371116,0.6607628433884644,1.0,1.0,2.2422802850356294,-0.12224846257825986,0.012063102996188476,,0.04719226889916051,0.3340623278200141,-0.0008405797101449245,0.001184210526315795,0.4144927536231884,0.25,0.0007821229050279337,0.004912280701754392,0.21739130434782608,0.42105263157894735,0.0010569105691056893,0.005434782608695657,0.17391304347826086,0.35526315789473684
PRES-2024-KH,5,percentage,0.02,"1 day, 0:00:00",1:00:00,count,0.5,14829,14084,11252,0.9497606042214579,0.7989207611474013,0.8502082075148699,0.869835452458613,0.00902197822835645,0.47879957649469174,0.9998568081200413,1.0,2.201292246520875,-0.04627975884937313,3.9125409658504784e-08,,0.095360206787419,8.143346138635674e-30,0.00028617134731603357,0.0006355932203389825,0.36624600071098473,0.23693502824858756,0.0004169884169884182,0.0008554996405463694,0.367667970138642,0.2503531073446328,0.00020233625365039738,0.000651453809348546,0.3515819409882687,0.2468220338983051
PRES-2024-KH,5,percentage,0.02,"1 day, 0:00:00",1:00:00,flow,0.05,9672,9230,7215,0.9543010752688172,0.7816901408450704,0.8302085882984921,0.8602447450219689,2.6223938217126266e-06,0.4280857287865459,0.9997815043946545,1.0,2.179523293607801,-0.06284309482881678,1.5158174192306345e-09,,0.13006497426991315,4.110069289957654e-36,-0.00014553014553014495,0.0006799007444168724,0.37075537075537074,0.23225806451612904,-1.3556258472660921e-05,0.0008934881373043915,0.3625779625779626,0.23870967741935484,-0.00026160889470241923,0.0005601659751037342,0.3463617463617464,0.23821339950372208
PRES-2024-KH,5,percentage,0.02,"1 day, 0:00:00",1:00:00,flow,0.1,3025,2793,2131,0.923305785123967,0.7629788757608307,0.76770305764676,0.8197744657043897,8.496629486448137e-05,0.19323538030444665,0.9992779396930401,1.0,2.175796634443251,-0.09927166239234907,1.4639768258192606e-07,,0.10557457269273005,2.236536489484368e-08,-0.001027686532144532,0.0011178247734138962,0.3974659784138902,0.2688821752265861,-0.0006743940990516323,0.0018322981366459634,0.3711872360394181,0.2990936555891239,-0.0009981515711645096,0.0012706270627062704,0.32426091037071797,0.28700906344410876
PRES-2024-KH,5,percentage,0.02,"1 day, 0:00:00",1:00:00,flow,0.2,631,515,442,0.8161648177496038,0.858252427184466,0.6339143768355104,0.6159977031010779,0.6457170983826144,0.6974433386828536,1.0,1.0,2.2524271844660193,-0.030803334835774694,0.4854862820445472,,0.06697155316199022,0.12905528452747242,-0.0008823529411764658,0.0008219178082191788,0.40497737556561086,0.3287671232876712,0.000647058823529415,0.005230769230769235,0.334841628959276,0.4794520547945205,0.00046153846153846196,0.0037931034482758656,0.2669683257918552,0.4520547945205479
PRES-2024-KH,5,percentage,0.02,"1 day, 0:00:00",2:00:00,count,0.5,14829,14463,11702,0.9753186324094679,0.809099080412086,0.8709493149219697,0.8894717136887638,0.016814450413518325,0.4921762944890402,1.0,1.0,2.205282444859296,-0.041097698530470635,7.647219157985416e-07,,0.09497470801609915,2.4409163522534994e-30,0.00037344043753204695,0.0003477001086562832,0.3680567424371902,0.241216950380297,0.0004942693409742136,0.0005691353520612917,0.3830969065117074,0.25461789206809127,0.0003658422771815224,0.0004924660051451673,0.3824132626901384,0.24918507787033684
PRES-2024-KH,5,percentage,0.02,"1 day, 0:00:00",2:00:00,flow,0.05,9672,9479,7512,0.9800454921422663,0.7924886591412597,0.8476138611324303,0.8800427124565239,2.432867903507866e-12,0.4300107534695307,1.0,1.0,2.184513134296867,-0.058004063994692705,1.5924065844716426e-08,,0.1313568375616353,9.425435609137997e-38,-5.857294994675109e-05,0.00043213014743263747,0.3730031948881789,0.23894255210981188,3.0513176144244993e-05,0.0006656426011264722,0.3808572949946752,0.23995932892730046,-0.00015162454873646124,0.0006085611139762766,0.3813897763578275,0.2364006100660905
PRES-2024-KH,5,percentage,0.02,"1 day, 0:00:00",2:00:00,flow,0.1,3025,2923,2271,0.9662809917355372,0.7769414984604858,0.7863525642105533,0.8325495439093085,0.00012695204838971089,0.13972207687104943,1.0,1.0,2.1837153609305506,-0.09366368881056511,3.9180812476070016e-07,,0.10524296048788648,1.1747693405642092e-08,-0.0010259797446058989,0.0008128834355828204,0.38881549977983265,0.3098159509202454,-0.000534458509142051,0.0010436137071651098,0.39145750770585647,0.3113496932515337,-0.0007235528942115755,0.0006466876971608828,0.3844121532364597,0.2837423312883436
PRES-2024-KH,5,percentage,0.02,"1 day, 0:00:00",2:00:00,flow,0.2,631,595,513,0.9429477020602218,0.8621848739495799,0.6557384207554713,0.6183306851650867,0.4968952411982517,0.722454102304398,1.0,1.0,2.265546218487395,-0.03419820865970936,0.4050289721617563,,0.0755937397768261,0.0653744018107086,-0.0013060428849902465,0.001097560975609757,0.391812865497076,0.4268292682926829,0.0002727272727272803,0.002638888888888899,0.38011695906432746,0.4268292682926829,0.00029023746701847196,0.0008823529411764779,0.3469785575048733,0.2926829268292683
PRES-2024-KH,5,percentage,0.02,12:00:00,0:30:00,count,0.5,14740,13283,10237,0.9011533242876526,0.7706843333584281,0.8317214915990154,0.854141830743184,2.9277266187631234e-05,0.44006323302944295,0.9973551503851704,1.0,2.19204998870737,-0.05292859755585452,1.0355925377060827e-09,,0.10485532481307282,8.579060883614612e-34,0.00017583276350493398,0.0006664478003939585,0.36143401387125135,0.23933026920551542,0.0002906253533868607,0.0007858889276982182,0.33916186382729313,0.23703217334208798,5.120327700973776e-06,0.0008157211716722277,0.3101494578489792,0.2330925804333552
PRES-2024-KH,5,percentage,0.02,12:00:00,0:30:00,flow,0.05,9218,8152,6245,0.8843566934259058,0.7660696761530913,0.8113528404037108,0.8385666991643772,0.0002478729413766114,0.4173377924401628,0.9958706442723079,1.0,2.1788518155053973,-0.05447029557988936,8.61310992443511e-07,,0.1374812371218055,1.0839598450835879e-35,-4.323458767013526e-05,0.0007079181961195586,0.37165732586068856,0.2270582066072365,4.480119469852592e-05,0.0008639186900056459,0.3359487590072058,0.22653382275825903,-0.0002934966216216208,0.0008890214797136029,0.30968775020016015,0.21394861038280022
PRES-2024-KH,5,percentage,0.02,12:00:00,0:30:00,flow,0.1,3866,3269,2476,0.8455768235902742,0.757418170694402,0.767796061887074,0.8121240573891697,0.00043466933304616643,0.28229027975369847,0.9919529309455767,1.0,2.183848271642704,-0.07900987246680707,6.104229444618637e-06,,0.12334714440580156,1.4759025780298698e-12,-0.0010945072697899835,0.0008575031525851173,0.3711631663974152,0.2547288776796974,-0.0009068010075566743,0.0009668508287292808,0.32067851373182554,0.2484237074401009,-0.0013380281690140835,0.0009792284866468827,0.28392568659127626,0.23959646910466584
PRES-2024-KH,5,percentage,0.02,12:00:00,0:30:00,flow,0.2,892,629,530,0.7051569506726457,0.8426073131955485,0.6693055971861852,0.6839588811894863,0.6265925961123385,0.6926043393857534,1.0,1.0,2.2146263910969792,-0.03570498574937278,0.37133239978006766,,0.14182964438328755,0.0003596530600755158,-0.0013396226415094321,0.0008080808080808099,0.3754716981132076,0.20202020202020202,-0.0006896551724137913,0.002236842105263161,0.23962264150943396,0.23232323232323232,0.00015503875968992262,0.0030769230769230795,0.22075471698113208,0.24242424242424243
PRES-2024-KH,5,percentage,0.02,12:00:00,1:00:00,count,0.5,14740,14031,11201,0.9518995929443691,0.798303755968926,0.8497276810881477,0.8697552566102917,0.005285719959093923,0.47725800020480424,0.9998562672341715,1.0,2.1999144750908703,-0.04691557152435612,2.7003128845511797e-08,,0.09723868147116999,7.869222595546728e-31,0.00027229711632890025,0.0006360424028268545,0.3658601910543701,0.2371024734982332,0.0004015869943874601,0.0008561151079136691,0.3685385233461298,0.25053003533568907,0.00019216710182767734,0.000651453809348546,0.35246852959557184,0.2469964664310954
PRES-2024-KH,5,percentage,0.02,12:00:00,1:00:00,flow,0.05,9218,8728,6885,0.9468431330006509,0.7888405132905592,0.8246185779728634,0.8514352826966032,0.0015085383711353222,0.44349664993933824,0.9997689373926055,1.0,2.1897341888175985,-0.05441470783088295,3.644099767950316e-07,,0.12477014702086617,1.2659451080919887e-31,-5.809731299926416e-06,0.0008572978838849693,0.37777777777777777,0.22843190450352685,0.00017834394904458686,0.0011406423034330008,0.3670297748729121,0.23874118285404233,-7.456216403676005e-05,0.0008171428571428568,0.34538852578068263,0.22843190450352685
PRES-2024-KH,5,percentage,0.02,12:00:00,1:00:00,flow,0.1,3866,3603,2820,0.9319710294878427,0.7826810990840966,0.7790914395514011,0.814239590969815,0.06524130643741136,0.3071231684001447,0.9994402679885265,1.0,2.195947821260061,-0.08416917848549316,4.203988734651608e-07,,0.10579659193856197,1.938835392723757e-10,-0.0010425531914893611,0.0009195402298850557,0.38085106382978723,0.26053639846743293,-0.0007185391028185779,0.001576872536136663,0.3670212765957447,0.28735632183908044,-0.0010017969451931712,0.0011338797814207655,0.324822695035461,0.2848020434227331
PRES-2024-KH,5,percentage,0.02,12:00:00,1:00:00,flow,0.2,892,730,618,0.8183856502242153,0.8465753424657534,0.695303053809308,0.6807442873518516,0.31704786123630146,0.6714878590405468,1.0,1.0,2.228767123287671,-0.004357323917034852,0.9064422762937386,,0.12167414110660262,0.0009874898538343917,-0.0014401294498381843,0.0007142857142857149,0.38996763754045305,0.25,-0.0005567010309278319,0.0021904761904761923,0.33495145631067963,0.2857142857142857,2.5125628140704657e-05,0.0019387755102040834,0.28640776699029125,0.30357142857142855
PRES-2024-KH,5,percentage,0.02,12:00:00,2:00:00,count,0.5,14740,14398,11637,0.976797829036635,0.8082372551743298,0.8706860099115653,0.8894717136887638,0.013085627293287602,0.48995206970404354,1.0,1.0,2.2040561189054033,-0.041538540213636684,6.164284972304955e-07,,0.09661527030968728,3.2916577336140158e-31,0.0003540431382658771,0.0003477001086562832,0.36710492394947153,0.241216950380297,0.00047554836389788,0.0005691353520612917,0.38360402165506574,0.25461789206809127,0.0003519281168101846,0.0004924660051451673,0.38334622325341583,0.24918507787033684
PRES-2024-KH,5,percentage,0.02,12:00:00,2:00:00,flow,0.05,9218,8990,7232,0.9752657843349968,0.8044493882091213,0.8451059155188257,0.8702714454902872,0.0005266412686743805,0.4466958343423526,1.0,1.0,2.1951056729699667,-0.052589507633037894,6.06721545020322e-07,,0.12529741130784472,8.713698980564215e-33,0.00010647123893805415,0.00043230944254834944,0.3779037610619469,0.23833902161547213,0.0002683492892370189,0.0006987399770904928,0.38689159292035397,0.2354948805460751,9.691096305269637e-05,0.0006766917293233083,0.3799778761061947,0.23265073947667805
PRES-2024-KH,5,percentage,0.02,12:00:00,2:00:00,flow,0.1,3866,3770,2977,0.975168132436627,0.7896551724137931,0.7966233675774004,0.8274529771566431,0.03925060305318716,0.27009950836047564,1.0,1.0,2.203183023872679,-0.07536026285042964,3.6180373100937415e-06,,0.10791401663438954,3.0701640194547236e-11,-0.0010043668122270734,0.0006431273644388382,0.376217668794088,0.29760403530895335,-0.0005919886565047836,0.0008056265984654738,0.3913335572724219,0.30138713745271123,-0.0006817325800376635,0.0005591677503250973,0.376217668794088,0.27616645649432536
PRES-2024-KH,5,percentage,0.02,12:00:00,2:00:00,flow,0.2,892,822,699,0.92152466367713,0.8503649635036497,0.6989649090903538,0.668528461402672,0.18909125361757562,0.6730354516700808,1.0,1.0,2.24330900243309,-0.017384058439064196,0.6187028830518588,,0.11458484144945134,0.0009981215060950997,-0.0013590844062947019,-0.00032520325203252244,0.39341917024320455,0.2926829268292683,-0.0008731466227347536,0.0006194690265486781,0.36909871244635195,0.3008130081300813,-7.736943907156358e-05,4.1503664471968466e-18,0.3333333333333333,0.24390243902439024
PRES-2024-KH,5,z_score,2.0,"1 day, 0:00:00",0:30:00,count,0.5,4615,3796,3640,0.8225352112676056,0.958904109589041,0.8391713572606011,0.8570698191065614,0.6544748716414268,0.8685205371079232,0.9999063007232926,1.0,2.1865121180189675,-0.047185836786764614,0.0036390978663686595,,-0.05267062632388658,0.001169111536016938,-0.0009120879120879102,-0.0009615384615384609,0.5200549450549451,0.47435897435897434,-0.0011924398625429535,-0.00046511627906976785,0.4760989010989011,0.4551282051282051,-0.00202974276527331,-0.0012820512820512814,0.43021978021978025,0.391025641025641
PRES-2024-KH,5,z_score,2.0,"1 day, 0:00:00",0:30:00,flow,0.05,2951,2399,2279,0.8129447644866147,0.9499791579824927,0.8219176295341688,0.8463976789798752,0.504114642059693,0.8574284406839884,0.9998517372011748,1.0,2.0454355981659025,-0.06170154716773259,0.002499332953665571,,-0.009404874554489757,0.6452169483929842,-0.0019131197893813058,-0.0012499999999999983,0.5625274243089075,0.5083333333333333,-0.002323177366702937,-0.0007142857142857137,0.5041684949539271,0.48333333333333334,-0.003126954346466541,-0.0013483146067415717,0.46511627906976744,0.425
PRES-2024-KH,5,z_score,2.0,"1 day, 0:00:00",0:30:00,flow,0.1,1010,724,679,0.7168316831683168,0.9378453038674033,0.7678157771762534,0.8405597635601776,0.06274547971413022,0.8607212371057661,0.9995920874780646,1.0,2.164364640883978,-0.07331475644413427,0.048615996359733994,,-0.04953499040480172,0.1830690612863606,-0.003681885125184094,-0.00044444444444444485,0.5301914580265096,0.5111111111111111,-0.004334763948497855,0.00033333333333333365,0.4020618556701031,0.37777777777777777,-0.00556756756756757,-0.0008000000000000007,0.3446244477172312,0.26666666666666666
PRES-2024-KH,5,z_score,2.0,"1 day, 0:00:00",0:30:00,flow,0.2,328,164,158,0.5,0.9634146341463414,0.6862245673321016,0.8854648650512925,0.1128834333061487,0.901082048717404,1.0,1.0,2.317073170731707,-0.040431082313918135,0.6072377189856931,,0.041232159053129894,0.6001300600963362,-0.0025949367088607526,0.001666666666666668,0.5379746835443038,0.16666666666666666,-0.0016666666666666616,0.0050000000000000044,0.25316455696202533,0.16666666666666666,-0.0025,0.0,0.17721518987341772,0.0
PRES-2024-KH,5,z_score,2.0,"1 day, 0:00:00",1:00:00,count,0.5,4615,4179,3975,0.9055254604550379,0.9511844938980617,0.8498976256051306,0.8500371501879004,0.2816318916586813,0.8693537328924104,0.9999767339322237,1.0,2.241206030150754,-0.01927075737367731,0.21294630540087048,,-0.03553671448177829,0.021600759326109133,-0.0007069182389937086,-4.901960784313893e-05,0.5227672955974842,0.45588235294117646,-0.0008350071736011455,-5.291005291005237e-05,0.5144654088050314,0.5098039215686274,-0.0015015974440894546,-0.0009580838323353295,0.48327044025157234,0.45588235294117646
PRES-2024-KH,5,z_score,2.0,"1 day, 0:00:00",1:00:00,flow,0.05,2951,2677,2528,0.9071501186038631,0.9443406798655211,0.8251632746076168,0.8553144497854189,0.05893864607544192,0.8619274355427479,0.9999636799039087,1.0,2.1228987672768023,-0.049130218640499296,0.011011537072622032,,0.0060380984818939505,0.754837964277496,-0.0016653481012658211,0.00013422818791946172,0.564873417721519,0.4563758389261745,-0.0018918918918918908,0.00022058823529411947,0.5399525316455697,0.5033557046979866,-0.0024836601307189534,-0.0006837606837606825,0.5090981012658228,0.4429530201342282
